Sr No,tweet,label
18,Kids on tic tok frontin like they got the #coronavirus for clout ?? America,1
19,"America has the right idea, all flights should b banned to #china until the #coronavirus is cleared #justsaying ?? https://t.co/WwWl4jlfNJ",1
20,It’s not unexpected that they react this way... and that is the truly tragic part.?? #coronavirus #inchinanow  @IntyMedia,2
21,Who named it #coronavirus ????? https://t.co/kGyZhFSww1,3
22,"Imagine a virus came out and was named ""coronavirus"" and had the same symptoms but for computers? ??
#CoronaVirus #coronavirusec #Coronaphobia #ProtectYourPC",3
23,"Why invest in #gold? ...Iran, #coronavirus, impeachment, election year... ??????? #gotgold?",2
24,"someone coughed next to me ??
But I am in south america ??
#coronavirus",1
25,What kinda #coronavirus screening is this..????,3
26,"BBC News - #Coronavirus: Whole world 'must take action', warns #WHO https://t.co/SDv1YFEpB7
UPDATE 3HRS AGO
virus has spread across China and to at least 16 countries globally, including #Thailand, #France, the #US and #Australia.  6000 infected over 120/130 deaths ??",1
27,"?????? #NewZealand ""#Coronavirus: Government charters Air #NZ flight to assist Wuhan departure""

""We encourage all New Zealanders in Hubei region to register on Safetravel &amp; ensure all their details are accurate and up to date.""

#coronoavirus #2019nCoV #DAT
https://t.co/A4XUHrY95q",1
28,"#WuhanCoronavirus #Coronavirus
The vaccine of the coronavirus is underway. Wish the speedy recovery of the patients. ????????????????????
https://t.co/bQ2Swo3AXx",1
29,"#WuhanCoronavirus #Coronavirus
Development of vaccine for novel coronavirus is underway. Wish the speedy recovery of the patients. ?????????????????? https://t.co/PEsCBOTSnz",1
30,"#WuhanVirus #coronavirus #coronarvirues #China #CoronaOutbreak #coronaviruswuhan 

Passengers in airplane supposedly has 7 infected passengers. But footage is quite concerting to me because did everyone in that plane got quarantined? This plane is supposedly came from China-CA?? https://t.co/fn6v9wSiEb",2
31,Stop. ???? The. ???? Racism. ???? #coronavirus #racismeantiasiatique,1
32,Hope everyone is safe. I'm very much concerned with this #Coronavirus and just hoping that its contained asap though right now the numbers say otherwise. Stay Safe!!! ??,1
33,"Good lord. ""Australian #coronavirus evacuees to be quarantined on Christmas Island"" 
https://t.co/h9z8I34pda
???????????
And no, Christmas Island is not the place of merriment and wonder for good little boys and girls that the name might imply: https://t.co/Qfncl2boaO",1
34,"Hate to brake the news to all the freshman and sophomore girls, but @tfitz141 has all 25 known STDs?????? #coronavirus",1
35,"At least 170 Dead and 7000+ Confirmed Cases of #coronavirus across the world. (Of which, at least 91 outside #China) Nearly 60Million in partial or full lockdown in China. ??????#coronaviruschina #coronarvirues #coronavirusec https://t.co/KyNMZcEwnD",3
36,"An old Chinese dude burped in front of me today and I smelt it ??
#coronavirus",2
37,Organic face mask. ASTM Level unknow. #coronavirus #Coronavirustoronto ?? https://t.co/8upNeEecxA,2
38,"New #coronavirus study with 99 patients had a 11% fatality rate.
""However, additional deaths might occur in those still hospitalized.""
At the end of this study, over 2/3's of the original patients were either still hospitalized, or dead. ??
https://t.co/Hht4TdSLwJ",1
39,Accurate or nah??? #Coronavirus https://t.co/1anWKPdh1r,2
40,"Dear Twitter ??

A very vital information on #CoronaVirus????",1
41,"#WuhanCoronavirus #Coronavirus
Thanks for the vlog showing the truth and situation in Wuhan. All people are cooperative and united to overcome it! ??????????????????
https://t.co/ilhHFpfmtp",1
42,"Thinking about #Coronavirus/pandemics. It’s the 2020s, and the vast Information Age has blessed us with #Antivaxers organizing and other stupidity. Speaking as someone who is libertarian-leaning: Science takes priority. ?? Read your history books. Take your vaccines. Be grateful. https://t.co/WQLvh2u1Fn",1
43,"#WuhanCoronavirus #Coronavirus
Reporters visited the citizens in Wuhan and send their blessings to them. All people are cooperative and united to overcome it! WUHAN JIAYOU  ??CHINA JIAYOU ?? https://t.co/Tnc3vV328v",1
44,"This is how gross misinformation is spread regarding #Wuhan #Coronavirus. The study referenced indicates that 11% **** OF THE 17% WHO DEVELOPED Acute Respiratory Distress Syndrome **** died.  That means &lt; 2 % developed ARDS and went in to die.
It DOESN’T mean 11% mortality for ??",1
45,"May come in handy...??
DIY Pandemic Ventilator : 6 Steps with Pictures. 
#coronavirus https://t.co/haxgWMfPGg",1
46,The #coronavirus situation in Australia just got a whole lot worse. We definitely needed a NICU mum to sort this shit out ??,2
47,"#WuhanCoronavirus #Coronavirus
Reporters visited the citizens in Wuhan and send their blessings to them. All people are cooperative and united to overcome it! BEST EISHES! ?????????????????? https://t.co/ftFAjgESf3",1
48,"#WuhanCoronavirus #Coronavirus
Reporters interviewed some citizens in Wuhan and sent their blessings to them! BEST WISHES! ?????????????????? https://t.co/F9OId2QZ7E",1
49,"Total number of cases of #coronavirus worldwide reach 8,000. A case in Tibet is confirmed, meaning the virus has spread to all 31 provinces, municipalities &amp; autonomous regions on mainland #China. ????
#CoronaOutbreak ?? 
https://t.co/dmpQlOJa7d",3
50,Schade...?????? #CoronaVirus,3
51,"#coronavirus yet not in India !! And I guess it can’t survive in India, as @WhatsApp has already made everyone alert &amp; literate about treatment?????. From Rasam to Chai, everything. ??",1
52,"What is the most terrifying with the #coronavirus is :  As death seems to arrive many days after first symptoms, with those thousands of new infected, the fatality rate could be WAY more then 3 %   Please someone tell me I am wrong ????",2
53,#outbreak #coronavirus #karma ?? China confirms 170 deaths as coronavirus spreads to multiple countries  https://t.co/h6LWZkfPvB,2
54,Gabby said when she first heard of the #Coronavirus she thought it was a virus you get from drinking a Corona Beer ??????  #funnythingskidssay,3
55,The number of times people ask me if I have the #coronavirus is getting a bit out of hand... and I’m fine ??,3
56,"Do read this, and spread! ????

Helping the world find credible information about novel #coronavirus https://t.co/41lWHIQ6VJ",1
57,"Hubei province,a father was isolated for #coronavirus. His son has #CerebralPalsy, alone at home, was died after  6 days , starved to death in the shit finally?? ????How many disabled families end up miserable in Wuhan? In China? I am one of them!red #ChinaziVirus #bloodycrimes",2
58,"#coronavirus
#Wuhancoronavirus

BBCNews 
Wuhan Mayor also blames Beijing. He says he had to get approval from Beijing to spread the word about the virus.??

WHO apologized for initially saying risk was MODERATE when it should have been HIGH.

Ano? Helloh #DOHque???
#halalan2022",3
59,"That's where the #coronavirus come from ?? 
@Ffs_OMG https://t.co/dFC9VuuznJ",2
60,"Forget #Coronavirus, the Virus Liberalis is a far far more dangerous threat. ??",3
61,No better time than ever to watch Dawn of The Dead ?? #coronavirus,3
62,"To all the people of #Wuhan, of #Hubei, of #China, who are suffering from the #CoronaVirus, may you be well... It is heartbreaking to see what is happening??",1
63,"TFW you go to a local bank branch and 1/2 the staff are wearing face masks.
#coronavirus ????",3
64,So the #coronavirus is not anything new ? Ok then cool ???????????? https://t.co/5UhxlCaxvh,2
65,What the fuck !! Is it for real ??? Mad ppl ?? #coronavirus https://t.co/LhQbGCHg0V,2
66,So easy to get sucked into all the media hype! I swear the true virus is sat in our hands... our phones!! ??????????? #coronavirus,3
67,The facts about #coronavirus they held a banquet after arresting media and citizens who were trying to warn people about the virus worst part is they held the banquet 3 miles away ???????? must watch https://t.co/dAavVe0U6X #WuhanCoronavirus  no conspiracy theories here !!!!! https://t.co/ooeeniZCzS,2
68,The #coronavirus could kill you in a month! That’s why I recommend you enroll in my YouTube Launch Program today - Don’t wait until your dead ??,2
69,"Good morning ???
#goodmorning #NZvsIND #Bigil #ThalapathyVijay #coronavirus #ThursdayMotivation #thursdaymorning #ThursdayThoughts #upsc #tnpsc #theexampost https://t.co/9yYD0kLFJQ",1
70,"Water bottles: BANNED

#Coronavirus: ??

Wuhan? ""screenings"" 

Welcome to San Francisco",3
71,Y’all got CoronaVirus we got ModeloVirus ???? #modelo #beervirus #coronavirus https://t.co/4ZuRBVEQB4,2
72,"Send 3 Chinese guys to #ShaheenBagh &amp; announce they have #coronavirus .

 All anti #CAA2019 nautanki virus will disappear ! ??

#ShaheenBaghProtests",2
73,"Does the world ?? face epidemic every century, exactly 100 years ? ?? #world #coronavirus #outbreak #Coincidence",1
74,"NUMBER GO UP ???????????
#coronavirus https://t.co/nzFokbs8MY",3
75,"A mock drill is conducted at a Chennai hospital on probable #Coronavirus affected patients. 

Follow live updates: https://t.co/fTyPzhq0x9

?? via @snehamordani https://t.co/pnPuQ1cv0P",1
76,I wish this #coronavirus would end so strangers will stop hitting me up for face masks ??,1
77,"Do the masks really work to stop the spread of #Coronavirus ??? They are selling out at some shops, We #Verify with an infectious disease doctor about if wearing face masks are helpful. @CBS8 
https://t.co/wjILWCZ3dL https://t.co/VlFBZJelsE",1
78,"#coronavirus
No point of wearing masks when you can also get infected through your eyes ??

These people are taking it to the next level ?? https://t.co/ko8qX0lboV",2
79,Hummmmm... ???? I am a little worry about advice number 5... ?????? #Lol #coronavirus https://t.co/E9ipl0NNil,2
80,"LMAO the first “confirmed” #coronavirus in Northern Ireland turned out to be a hangover and the fucking mans wife answer is the best ???? “fuck all wrong with the cunt”
I love the Irish https://t.co/ry3wsQ1CT6",2
81,When I tell you majority of the stores are sold out of face masks ??. Smh it’s crazy! #CoronaVirus,2
82,"“You’ve searched ‘virus’ many times, you may find this as helpful” ??#medtwitter #coronavirus #antivirus #advertising #globalhealth #Nepal https://t.co/qiSrzaGicY",3
83,"Asian stocks extend their losing streak as a sell-off continues on #Coronavirus fears:

??Hong Kong stocks open in red ??

??Taiwan stocks at lowest level since Dec. 11 ??",2
84,My #Coronavirus #Bugout Bag Is Complete. ???? I will never starve with these 2 beauties.  ?????????????????????? https://t.co/AyyQB7ZCYc,1
85,"Wait. If #CoronaVirus is less of a threat than the flu and isn’t spread unless people have symptoms (as Globalist elites keep telling us), then why a scramble? ??????

Health alert issued over Tigerair flight after passenger diagnosed with coronavirus  https://t.co/W3kCesP6YY",1
86,clorox wipes kills the #coronavirus ?? https://t.co/CV40lQWBgF,1
87,"Canada’s Chief Medical Officer in the midst of #coronavirus taking time to falsely label Canadians as racists??

Did she have the same comment on racism and stigmatizing actions-ape like gestures-of Justin Trudeau in head to toe black paint?",3
88,"Its 3.53am and I'm very deep into #coronavirus conspiracy theories right now. They're deffo going the  Soviets ""play down everything and arrest people who spread info about it"" way ??????",1
89,Can UV lughts be used to kill #coronavirus ? ??,1
90,?????????? People are confusing #coronavirus with #CoronaBeer thinking #coronavirus is coming from #CoronaBeer #CoronaOutbreak               #NeverForget_foul_play_of_Congress       @BjpITCELL97 @Gopal31346002 @OmBishnoii @YouthBJP @Realbharti @Viral_SMS @Being_Archna https://t.co/4cY8GL5xAG,1
91,Pretty sure staying out in the middle of no where for a month will be wise considering ?????? #coronavirus  still don’t know for sure tho,3
92,"??Where did the #coronavirus come from?
Was it man made?
Why did it happen in China, was it a coincidence, If not what was the purpose?
https://t.co/EcDrpRKvQG
https://t.co/s0ynmN7b7Y
https://t.co/AM7aL2EhrK
https://t.co/4nTxuEIdf9
https://t.co/qJBeDPQvKK
https://t.co/3HXnpYBgIl",1
93,"#coronavirus #chinavirus #coronaviruschina #wuhan #wuhanvirus #wuhanchina #wuhancoronavirus #thailandandchina ..with love to Wuhan, China from Thai people ? @ Bangkok, Thailand https://t.co/dxbxW4LhYv",3
94,"#WuhanCoronavirus  #Coronavirus
A nurse wanted to back to her work in Wuhan after her break. She was enthusiastic and devoted herself in healing the patients. So touching... ?????????? JIAYOU WUHAN ???
https://t.co/ttHppusz9M",1
95,The more you know ?? #coronavirusec #coronavirus #washyourhands https://t.co/nijWhM6cbz,1
96,Sending prayers to the city of Wuhan ???? #coronavirus #Wuhan,1
97,"#WuhanCoronavirus #Coronavirus
A nurse wanted to back to her work in Wuhan after her break. She is enthusiastic and devoted herself in healing the patients. So touching... ???????????????? Send my blessings from the bottom of my heart. ????????? https://t.co/jKbE3ldfw3",1
98,"Amid #coronavirus breakout, gestures like this, restores my faith in humanity.
??Peace",1
99,"The doctor the nurse ????????#WuhanVirus
#coronavirus #WuhanCoronovirus #ChinaVirus https://t.co/cupEXSfGbs",1
100,"Bill Gates and his cooked up #CoronaVirus 

Fear mongering the masses...
Pandemic exercises....

?????? ?????? ??????

https://t.co/84L5hGNmYA",1
101,When u see others can get out but u can’t. U get jealous. ??????#coronavirus #baotou @ Baotou https://t.co/w1gDXoEQcy,2
102,"The number keeps rising:( if deaths in China! ???? #coronavirus #letspray #JesusIsLord #healusGod 
 China confirms 170 deaths as coronavirus spreads to multiple countries  https://t.co/YsaAoLj1dD",3
103,colleague sent me this picture saying her students are receiving masks instead of money in light of #coronavirus fears. ?? https://t.co/VNt8434m2T,1
104,#coronavirus End of world ??,2
105,"I'm sickening of humans. The more I see tweets &amp; ppl opinions towards #coronavirus  They've shown their cold hearts, and some Westerns tried to gain their self confidence over Chinese at this time. The world is really the open gate to hell for mankind. ??",1
106,"This podcast is a MUST listen for everyone concerned about the #coronavirus, #WuhanOutbreak + the plight of the wonderful Chinese people.?? https://t.co/odX1t33h8q #batchelorshow @realDonaldTrump @vp @SalenaZito @lizpeek @JenniferHYChan @jimcramer @Jkylebass #USA #China #UK #HKG",1
107,"Glad I don’t post messages &amp; conversations... 
Some of y’all bitches would be #CoronaVirus sick ??",2
108,So they've mapped the magnetic fields of the Sun's corona and there's something called the #coronavirus hmmmm... This is the most detailed image of the sun's surface to date ?? https://t.co/kBwwd6LgOO,3
109,Y’all not catching me slippin #coronavirus ?? https://t.co/6HitCHPGt7,2
110,No wonder we now have the #coronavirus WTH ???????,2
111,"CHINA IS LYING to the world &amp; to its citizens about the #coronavirus #WuhanCoronavirus #coronavirusec #CoronaVirusKenya #coronavirususa #CoronaVirusCanada #CoronaOutbreak #ChinaCoronaVirus #ChinaVirus #China #lies #wakeup 
????????????
https://t.co/q1XJaNLMlw",2
112,"???? #CHINA #Wuhan

People barricade the entrance to their homes.

? #Coronavirus
? #WuhanCoronavirus
? #CoronaOutbreak
? #WuhanPneumonia
 https://t.co/5pcGyeBSMa",3
113,"#Wuhan #CoronaVirus ??

Wuhan coronavirus cases top 7,000: Live updates https://t.co/JRDJ2G1Z8D",2
114,"I was bitterly about to say, "" aren't you supposed to wear a mask?""
????
#coronavirus",3
115,"???? #CHINA #Wuhan

People barricade the entrance to buildings.

? #Coronavirus
? #WuhanCoronavirus
? #CoronaOutbreak
? #WuhanPneumonia
https://t.co/gfwWwsju2J",3
116,"#CoronaVirus
Dead/Infected since 21 Jan
21 - 6 / 300
22 - 15 / 500
23 - 26 / 830
24 - 41 / 1287
25 - 66 / 2000
26 - 80 / 2700
27 - 107 / 4500
28 - 132 / 5974
29 - 170 / 7700

The nCoV has now spread to every region of mainland China ??

Remain at alert. Wash your hands always.
??",3
117,Well we can’t land anywhere bois ???????#coronavirus https://t.co/zp4YtdOymQ,2
118,#Arkansas #coronavirus It has NOT been confirmed! I repeat “NOT confirmed”. Read the damn words!! They actually have meaning. ?? Stop the fear mongering.,1
119,"Wtf Applebee's? 
Licking bowls leads to 
licking bowls??
 #coronavirus
#gross",2
120,?? I've been waiting for one of them w/#TDS  to blame @realDonaldTrump for #Coronavirus &amp; other diseases.  #BatshitCrazy ?? https://t.co/qRNCTYaWkz,3
121,corona virus got me like ????? #coronavirus https://t.co/dFMoc7a29s,3
122,11 people in Japan have #coronavirus   as of today. Three returnees from Wuhan on Wednesday’s flight tested positive for #2019nCoV. Two of them did not show ANY symptoms but still tested positive! What do you make of that @DrEricDing? Quite worried here in Tokyo! ??,3
123,"#HongKong govt worker can easily give a box of 50 face mask but our CEO cannot? #coronavirus
CSI = made by Correctional Service prisoners using #Hongkong taxpayers money! This bitch 777 is using the same CSI mask, why the elderly queued up fr 11pm last night, but can't get one??? https://t.co/UfEQy3v4tA",1
124,"A DON'T PANIC ?? THOUGHT for Thursday!

At the current rate of growth of the #Wuhan 2019-nCov #coronavirus ?? we will see:

Over 10,000 confirmed cases and 
Over 250 deaths 

In the next 24HOURS! ??

https://t.co/Mv4JSRlQUh…

#China #WuhanOutbreak  
PS
It's a lot milder than Flu",3
125,"#WuhanCoronavirus #Coronavirus
A foreign student interviewed by a reporter and talks about his living in Wuhan.
BEST WISHES! ???????
https://t.co/hwXehIIy8w",2
126,"Yes, the #coronavirus is a global threat, and the delay and suppression of the Chinese government is reprehensible.

But please don’t hate on regular, everyday Chinese people. They’re awesome.

????????????????????????????",1
127,Pray for #China ?? #CoronaVirus,1
128,"#coronavirus PLEASE STAY SAFE EVERYONE. There is no way to tell how bad this will be. Protect ur selves as much as possible as Hygiene &amp; Good Nutrition is ""CRUCIAL NOW"" more than ever. PREVENTION IS THE CURE! Universe pls help us ?? #Cornavirus #CoronaOutbreak #backtoschool2020",1
129,"#WuhanCoronavirus #Coronavirus
A foreign student interviewed by a reporter and talks about his living in Wuhan. BEST WISHES! ???????We will overcome it! ?????????? https://t.co/7QNETckqQe",1
130,"?China forbids Muslim women from covering their faces.
?And Allah has made mask compulsory in China. #coronavirus #CoronavirusOutbreak https://t.co/3xGwDOjWfv",3
131,How tf that virus got here before you outfit for the weekend ???? #coronavirus #outbreak,2
132,This #coronavirus was never in Africa but now they tryna bring it here ?? abare tseye bo best,3
133,"Subjectively, the world has become a safer place with #coronavirus taking place. Because now I can't read anymore about US warmongering. I am sure it is still taking place, just became invisible in the media for now. ??",1
134,"It's funny how everyone is happy to listen to scientists about #CoronaOutbreak but not the #ClimateEmergency ??

#coronavirus #auspoI #qanda",1
135,Stay Woke ! ?? #retweet #coronavirus https://t.co/bpvIg2Ha1t,3
136,"As the #Coronavirus outbreak intensifies, the EU Civil Protection Mechanism has been activated on request from France.
Two planes will be mobilised to repatriate EU citizens from the Wuhan area to Europe.
?? Overview of the outbreak: https://t.co/B5KsFBcR5M",1
137,"14 confirmed #coronavirus in Texas, but dont see anything about it on the news.. i wonder why??

Stay aware people https://t.co/fUvwiFR9xS",3
138,Caption this!?? #coronavirus https://t.co/mJIid5ig59,3
139,"A White House #Coronavirus Task Force? Hm ??

Google closes down its office in #China?! Hmmmm ??

Boston-Chinese espionage of the #Harvard Biology and Chemistry department???!!? Hmmmmmmmmm! ??

#QAnon #TheGreatAwakening #Wuhan",3
140,"What if #coronavirus is spread in purpose in China to make this country weak? Imagine, no planes in and out, no tourists, no businesses, no Ali Express  packages, suspended import and export. Everything is frozen and every single day they lose lots of money ??",3
141,"I have a coworker, who’s brothers gf lives in Wuhan and she has the #coronavirus and she’s quarantined inside her house, and the government shut off her internet. To me that seems hella fishy ??",2
142,"#coronavirus PLEASE STAY SAFE EVERYONE. There is no way to tell how bad this will be. Protect ur selves as much as possible as Hygiene &amp; Good Nutrition is ""CRUCIAL NOW"", more than ever. PREVENTION IS THE CURE! ?? #Cornavirus #CoronaOutbreak #backtoschool2020",1
143,Please be safe everyone?????? #coronavirus #CoronaOutbreak https://t.co/hcKwrrVzs4,1
144,"????
Primarily, may not China but the #greediness in the #human is the cause of #Coronavirus!",1
145,"#coronavirus BREAKING NEWS: PLEASE STAY SAFE EVERYONE. There is no way to tell how bad this will be. Protect ur selves as much as possible as Hygiene &amp; Good Nutrition is ""CRUCIAL NOW"" more than ever. PREVENTION IS THE CURE! ?? #Cornavirus #CoronaOutbreak #backtoschool2020",1
146,Protect yourself ?? from this #Coronavirus?? https://t.co/xyOMLpVFc7,1
147,"This is racist ??

#coronavirus

https://t.co/SXe81A1q82",2
148,They will not die because of #coronavirus if they have survived and made it this far without a brain?? https://t.co/Svcqj114We,3
149,Thank you to all healthcare personnel and reporters on the front lines ?????? #coronavirus,1
150,"Google has seen a dramatic spike for the search words ""corona beer virus"". ????? https://t.co/rD7v9JVpFE via @VICE #Coronavirus",3
151,"I created a #CoronaVirus list of vetted epidemiologists and scientists if you're looking for info.
The tweets are mostly unguarded, apolitical.

No one has yet to tweet:
 ""This is my last tweet, good luck to everyone!""
but if anyone in this group does ??

https://t.co/qcV0XBvEIg",2
152,"5 million people left Wuhan right before lockdown 
ok good afternoon ??#coronavirus",3
153,The Indian government has set up a 24X7 helpline number to attend to queries about #coronavirus: 011-23978046. Rt &amp; Spread ????,1
154,#Coronavirus patients are being sealed off for quarantine inside their home in China. Looks beyond bizarre! ?? https://t.co/DtAAm7q3jS,1
155,"There you have it .... #coronavirus just exploded in the United States... thanks @CNN 

??????????See map here https://t.co/jgXThQ1NTl",2
156,"#US 72 hours #hold #Californi #Airbase #Military #China #Quarantine #Evaluation #Tests #Coronavirus #2019nCoV #Symptoms #NoSymptoms #Health #Pneumonia #FLU #Influenza #SARS #MERS #mutation #Concerns #Respiratory #Lungs #Eyes #Nose #Inhaling

Eh what could go wrong?... ?? smh https://t.co/JIi5j6408G",3
157,"Ha! Joke’s on you drinkers! 

I’m sober so I can’t get the #coronavirus. ??

I’ll see myself out.",3
158,"https://t.co/brOnENl6HF
Stop spreading FALSE INFO from unverified links.

Be ALERT, not ANXIOUS. ?? ??
#CORONAVIRUS",1
159,"Also this morning I gave a brief reading to the news coming from all over the?? and I believe that:

#coronavirus is a bioterrorist attack;

Taliban leaders in Doha don't even know what's going on in AFG;

US foreign policy really looks like one of the biggest disasters of 2020.",2
160,#Coronavirus never ??,1
161,"?? #CoronaVirus And just like that Democrats believe in borders &amp; travel bans ??????? Do they realize Fentanyl &amp; Islamic terror is MORE DEADLY, oh the irony ????",2
162,Some great analysis on #coronavirus in #TimorLeste from @fundasaunmahein ?? https://t.co/KrqlvXaYKB,1
163,Mainland Chinese are always creative. You know what to do when you’re out of surgical masks ?? #coronavirus https://t.co/TUNrtnQviz,1
164,"#coronavirus 
Respect to the real doctors ???? https://t.co/nSs0jfjjxK",1
165,So tired of scrolling through the #coronavirus tag looking for info and seeing sheer ignorance and racism. ?? either hush or admit you have 0 understanding of socioeconomics and different cultures.,1
166,"Recommended reading ????

#coronavirus 

https://t.co/BnTphza6XS",1
167,"If I had to rate my stress level right now, I’d say I’m pretty close to 2007 @britneyspears???????????

#coronavirus #pandemicnetflix https://t.co/3SY7GkX3ko",3
168,Boycott China! Country is disgusting ?? #coronavirus,2
169,#coronavirus I'm speechless. This is why we need educated people to run the country. ???????????? https://t.co/UOYgHmk9uS,1
170,"If I get the #coronavirus
Best believe I’m catching Lyme’s diesease too

Corona always gets its Lyme????",2
171,Well done @KKMPutrajaya @MyHEALTHKKM to provide usefull notification on @Twitter search bar ?? #coronavirus https://t.co/OJBtI7MgLz,1
172,Awake since 3am Googling #coronavirus I’ve everything but the fever ??????????????,3
173,Things are really bad??#coronavirus,3
174,"the #coronavirus have infested 7,000 people &amp; has killed over 170 people!!!????",3
175,"Someone bring #coronavirus in Mzansi, wanna see something ????",2
176,the ?? corona ?? virus ?? is ?? not ?? a ?? free ?? ticket ?? to ?? be ?? racist ?? towards ?? Asian ?? &amp; chinese ?? people. Stfu #coronavirus,2
177,"#Singapore #WuhanCoronavirus #coronavirus 
4 face masks per household amidst this outbreak where virtually all retail shops are running out of masks? ??
https://t.co/FT5T3j0Wma",1
178,"Don’t be afraid guys 
 #coronavirus was made in China ???? ??",2
179,I actually feel rather very bad for hypochondriacs right now given the ongoing #coronavirus ??,1
180,"Amidst worrying reports on the #coronavirus , glad to see us prepare before the virus reaches #Bhutan. 

Thank you, Lyonchhen @PMBhutan &amp; Health Minister @DechenwangmoM . Guess this is the advantage of having people with strong health/medical backgrounds in parliament! 

???? https://t.co/7FWY9zEPLW",1
181,Three cheers for Aussie scientists ?? #coronavirus isolated to grow in vitro to advance #vaccine development! https://t.co/RIgncMpSQq,1
182,Uh oh ?? #Lysol #coronavirus https://t.co/dSeAlHJAud,2
183,"Let's protect ourselves ???? 
#coronavirus #WuhanFighting #WuhanFight #?????????????????????????  #???? ??????? https://t.co/AXpmRpJbg3",1
184,"Wanna see something completely crazy? Here’s the patent for the #CoronaVirus owned by the company Pirbright Institute FUNDED by Bill Gates https://t.co/wbm98ZzNCk Its all a dream boys and girls!!! You’ll wake up from it pretty soon, go back to sleep now ?? ?? #CoronavirusOutbreak https://t.co/7Y1C5ahYgZ",1
185,?? ???? health workers !!! #coronavirus,1
186,"Dr. Mike be like “don’t touch your eyes, nose , and mouth.”
Me at the gym : *picking at my braces* 
??
@RealDoctorMike 
#coronavirus",3
187,What irritates me about this #CoronaVirus is that #WHO is now declaring it a health crisis meanwhile it took them forever to acknowledge that #Ebola was too @Pearl_Shongwe @moflavadj Africa will always be second best ??,2
188,"If you can't pay $1,000.00 you don't get saved.

The Australian Government has lost all humanity ??

#coronavirus #China #Wuhan ??#WuhanCoronavirusOutbreak #WuhanCoronavirus 
https://t.co/EPZyQTbfap",2
189,"Pros and cons of different masks - 

#coronavirus #WuhanVirus #Masks #wuhanconoravirus #CoronavirusOutbreak 

Share this ???? https://t.co/MHBSbOURJU",1
190,"Reduce your risk of Coronavirus infection ?????

#AlZahraHospitalSharjah
#CoronaVirus
#Prevention
#HappinessIsGoodHealth @ Al Zahra Hospital https://t.co/0jq1VvtOoj",1
191,"Kudos to Government of India for containing #coronavirus entering in India. In a situation where around 20 countries failed to contain it. Massive work by the people working for it.
????????
Appreciation where due. 

#CoronavirusOutbreak",1
192,"#CoronavirusBinnaccle?????? 

#Taiwan’s benchmark stock index plunges more than 5% on concern the #coronavirus outbreak will disrupt the global supply chain https://t.co/hHlzoO9Tbs https://t.co/qt2Pu1XwiH

#Wuhan #China",2
193,"'God' Sent #Coronavirus to Destroy #LGBTQ People, Says Trump-OK'd Preacher 
@TheAdvocateMag  https://t.co/K5cd26vhEa 
#HereWeGoAgain #AssholeOfTheDay #KeepYourReligionOutOfMyBedroom #FuckReligion #FucktRump #SpoilerAlert #GODIsFiction??",2
194,"#Coronavirus hits African soil and the ANC is chilled AF. ??
#Loadshedding within 4 weeks of 2020 and the ANC is chilled AF.??
#unemployment rate hits 30% in 2020 and the ANC is chilled AF ??
There's no sense of urgency in this country?? https://t.co/t01Lm1QJbf",2
195,"#VideoOfTheDay?? ???????? #coronavirus 

Full video: https://t.co/zFLRe5HeQc https://t.co/qTNJfV3AsU",3
